Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
volcaniarm_base_link,0.056584,-3.9169E-11,0.053171,0,0,0,5.2358,0.045054,5.2217E-06,0.00071509,0.014737,3.2243E-10,0.053493,0,0,0,0,0,0,package://volcaniarm/meshes/volcaniarm_base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://volcaniarm/meshes/volcaniarm_base_link.STL,,volcaniarm_base_link-1,volcaniarm_base_link_cs,volcaniarm_base_link_axis,volcaniarm_base_joint,fixed,-0.218000000000013,0,-0.0199999999999894,3.14159265358979,0,0,base_link,0,0,0,,,,,,,,,,,,
volcaniarm_left_elbow_link,-0.0035388,0.00032928,0.20807,0,0,0,0.25539,0.0015999,2.5707E-06,-4.8958E-07,0.0016014,-4.1044E-06,8.8962E-05,0,0,0,0,0,0,package://volcaniarm/meshes/volcaniarm_left_elbow_link.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://volcaniarm/meshes/volcaniarm_left_elbow_link.STL,,left_elbow_link-1,left_elbow_link_cs,left_elbow_link_axis,volcaniarm_left_elbow_joint,revolute,0.285000000000036,-0.214999999999991,0.0632000000000055,0.785398163397457,0,0,volcaniarm_base_link,1,0,0,10,10,-3.14,3.14,,,0.1,0.1,,,,
volcaniarm_left_arm_link,2.2204E-16,-0.019365,0.31121,0,0,0,0.31139,0.0060642,-1.1232E-13,7.5126E-14,0.0060587,1.0603E-13,0.00011844,0,0,0,0,0,0,package://volcaniarm/meshes/volcaniarm_left_arm_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://volcaniarm/meshes/volcaniarm_left_arm_link.STL,,left_arm_link-1,left_arm_link_cs,left_arm_link_axis,volcaniarm_left_arm_joint,revolute,0.00399999999997247,0.0200000000000011,0.416213203435623,-1.70529629561765,0,0,volcaniarm_left_elbow_link,-1,0,0,10,10,-3.14,3.14,,,0.1,0.1,,,,
left_ee_link,-0.072113,0.39486,-0.31177,0,0,0,58.221,11.857,0.3683,-0.48692,8.7885,-1.3107,7.9593,0,0,0,0,0,0,package://volcaniarm/meshes/left_ee_link.STL,1,1,1,1,0,0,0,0,0,0,package://volcaniarm/meshes/left_ee_link.STL,,,left_ee_cs,left_ee_axis,left_ee_joint,fixed,0,0,0.62243,0,0,0,volcaniarm_left_arm_link,0,0,0,,,,,,,,,,,,
volcaniarm_right_elbow_link,-0.0035272,-0.0032768,0.20822,0,0,0,0.25516,0.0015999,2.5707E-06,-4.8958E-07,0.0016014,2.7775E-06,8.8958E-05,0,0,0,0,0,0,package://volcaniarm/meshes/volcaniarm_right_elbow_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://volcaniarm/meshes/volcaniarm_right_elbow_link.STL,,right_elbow_link-1,right_elbow_link_cs,right_elbow_link_axis,volcaniarm_right_elbow_joint,revolute,0.289000000000013,0.215,0.0632000000000104,-0.785398163397448,0,0,volcaniarm_base_link,1,0,0,10,10,-3.14,3.14,,,0.1,0.1,,,,
volcaniarm_right_arm_link,-0.00010972,0.018304,0.32828,0,0,0,0.32945,0.0060651,4.6871E-12,3.074E-12,0.0060639,3.1157E-09,0.00012364,0,0,0,0,0,0,package://volcaniarm/meshes/volcaniarm_right_arm_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://volcaniarm/meshes/volcaniarm_right_arm_link.STL,,right_arm_link-1,right_arm_link_cs,right_arm_link_axis,volcaniarm_right_arm_joint,revolute,0.004,-0.02,0.41621,1.7053,0,0,volcaniarm_right_elbow_link,1,0,0,10,10,-3.14,3.14,,,0.1,0.1,,,,
right_ee_link,-0.076113,-0.4055,-0.2978,0,0,0,58.221,11.857,-0.56729,-0.22564,8.6895,1.338,8.0583,0,0,0,0,0,0,package://volcaniarm/meshes/right_ee_link.STL,1,1,1,1,0,0,0,0,0,0,package://volcaniarm/meshes/right_ee_link.STL,,,right_ee_cs,right_ee_axis,right_ee_joint,fixed,0,0,0.62243,0,0,0,volcaniarm_right_arm_link,0,0,0,,,,,,,,,,,,
camera_mount_linear_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://volcaniarm/meshes/camera_mount_linear_link.STL,1,1,1,1,0,0,0,0,0,0,package://volcaniarm/meshes/camera_mount_linear_link.STL,,camera_mount_linear_link-1,camera_mount_linear_cs,camera_mount_linear_axis,camera_mount_linear_joint,prismatic,0.405353761834025,0,0.039999999999992,0,0,0,base_link,1,0,0,10,10,-0.3,0.3,,,0.1,0.1,,,,
camera_mount_rev_link,-0.00010268,-1.5812E-06,0.01215,0,0,0,0.006837,2.4745E-06,8.8137E-13,-4.848E-10,2.6062E-07,-1.1636E-11,2.5357E-06,0,0,0,0,0,0,package://volcaniarm/meshes/camera_mount_rev_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://volcaniarm/meshes/camera_mount_rev_link.STL,,camera_mount_rev_link-1,camera_mount_rev_cs,camera_mount_rev_axis,camera_mount_rev_joint,revolute,0.192000000000008,0,-0.0290000000000052,3.14159265358979,0.211904134210419,3.14159265358979,camera_mount_linear_link,0,1,0,10,10,-3.14,3.14,,,0.1,0.1,,,,
camera_link,-6.0189E-07,0.00024591,0.011952,0,0,0,0.044753,2.7362E-05,3.9858E-09,7.9052E-10,3.9447E-06,2.4433E-07,2.7278E-05,0,0,0,0,0,0,package://volcaniarm/meshes/camera_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://volcaniarm/meshes/camera_link.STL,,camera_link-1,camera_link_cs,camera_link_axis,camera_joint,fixed,-2.37779715432929E-05,0,0.0160004150359285,0,-0.0135473024600912,0,camera_mount_rev_link,0,0,0,,,,,,,,,,,,
